datetime,Open,Close,High,Low,Volume,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-22,30.805,31.08,31.424,30.584,37199967,11612392960.0,2.7,-0.28,-0.088,1.5
2023-05-23,30.904,30.592,31.192,30.535,35625326,11010517248.0,2.11,-1.57,-0.488,1.44
2023-05-24,30.114,30.442,30.511,29.71,72141851,21757178112.0,2.62,-0.49,-0.15,2.92
2023-05-25,38.427,37.884,39.384,36.539,154391067,59057932032.0,9.35,24.45,7.442,6.24
2023-05-26,37.794,38.85,39.074,37.454,71439676,27534495488.0,4.28,2.55,0.966,2.89
2023-05-30,40.499,40.015,41.842,39.853,92340110,37560358656.0,5.12,3.0,1.165,3.73
2023-05-31,39.392,37.738,40.199,37.726,100258020,38696843776.0,6.18,-5.69,-2.277,4.05
2023-06-01,38.393,39.674,39.954,38.244,63587295,25013413632.0,4.53,5.13,1.936,2.57
2023-06-02,40.001,39.231,40.404,38.962,48273121,19090009856.0,3.63,-1.12,-0.443,1.95
2023-06-05,38.813,39.075,39.469,38.611,39609381,15488588544.0,2.19,-0.4,-0.156,1.6
2023-06-06,38.734,38.558,39.064,38.052,38872914,15048190720.0,2.59,-1.32,-0.517,1.57
2023-06-07,38.823,37.383,39.407,37.264,51199789,19653328128.0,5.56,-3.05,-1.175,2.07
2023-06-08,37.632,38.418,38.772,37.413,41777240,16027095552.0,3.64,2.77,1.035,1.69
2023-06-09,38.945,38.678,39.619,38.475,42771747,16716646656.0,2.98,0.68,0.26,1.73
2023-06-12,39.108,39.39,39.438,38.526,38967335,15212815616.0,2.36,1.84,0.712,1.58
2023-06-13,40.094,40.93,41.009,39.648,61320816,24862771968.0,3.46,3.91,1.54,2.48
2023-06-14,40.732,42.905,42.908,40.46,74046502,31071966208.0,5.98,4.83,1.975,2.99
2023-06-15,42.51,42.561,43.197,42.055,56862204,24333778688.0,2.66,-0.8,-0.344,2.3
2023-06-16,43.358,42.6,43.629,42.569,65570941,28335916800.0,2.49,0.09,0.039,2.65
2023-06-20,42.906,43.716,43.898,42.582,45115311,19524634880.0,3.09,2.62,1.116,1.82
2023-06-21,43.409,42.953,43.523,41.988,55160291,23635078144.0,3.51,-1.75,-0.763,2.23
2023-06-22,42.161,42.933,43.334,42.142,41773743,17951420928.0,2.78,-0.05,-0.02,1.69
2023-06-23,42.372,42.117,42.717,41.923,35813984,15182391552.0,1.85,-1.9,-0.816,1.45
2023-06-26,42.369,40.54,42.672,40.008,59432192,24450240512.0,6.33,-3.74,-1.577,2.4
2023-06-27,40.707,41.784,41.848,40.356,46217470,19064184832.0,3.68,3.07,1.244,1.87
2023-06-28,40.568,41.025,41.753,40.426,58263927,24015429632.0,3.18,-1.82,-0.759,2.36
2023-06-29,41.466,40.73,41.508,40.508,38051430,15588398336.0,2.44,-0.72,-0.295,1.54
2023-06-30,41.588,42.21,42.458,41.409,50114775,21165276672.0,2.58,3.63,1.48,2.03
2023-07-03,42.425,42.321,42.806,42.11,19820919,8406646272.0,1.65,0.26,0.111,0.8
2023-07-05,42.043,42.225,43.085,41.993,32361756,13810676736.0,2.58,-0.23,-0.096,1.31
2023-07-06,41.752,42.011,42.087,41.254,30413879,12714004224.0,1.97,-0.51,-0.214,1.23
2023-07-07,42.23,42.411,43.122,42.088,35588147,15225834752.0,2.46,0.95,0.4,1.44
2023-07-10,42.565,42.088,42.719,41.557,35390811,14906527488.0,2.74,-0.76,-0.323,1.43
2023-07-11,42.389,42.313,42.666,41.975,29824406,12637571584.0,1.64,0.53,0.225,1.21
2023-07-12,42.941,43.81,43.843,42.685,48127702,20983567616.0,2.74,3.54,1.497,1.95
2023-07-13,44.426,45.885,46.063,44.4,47820369,21603595520.0,3.8,4.74,2.075,1.93
2023-07-14,46.491,45.377,47.996,44.968,77207533,36009212160.0,6.6,-1.11,-0.508,3.12
2023-07-17,46.197,46.369,46.404,45.17,51048822,23427578368.0,2.72,2.19,0.992,2.06
2023-07-18,46.609,47.402,47.804,45.642,57019042,26736347392.0,4.66,2.23,1.033,2.31
2023-07-19,47.372,46.985,47.726,46.65,42750179,20161681408.0,2.27,-0.88,-0.417,1.73
2023-07-20,46.415,45.428,46.995,44.97,53786451,24703377664.0,4.31,-3.31,-1.557,2.17
2023-07-21,45.696,44.217,45.774,44.008,96376863,43031601920.0,3.89,-2.67,-1.211,3.9
2023-07-24,44.639,44.52,45.017,43.948,38309974,17098642176.0,2.42,0.69,0.303,1.55
